,,0
42,9,2650195.0
44,36,2649771.0
66,30,2649266.0
-71,19,2645794.0
5,36,2641156.0
76,16,2637657.0
-113,33,2636915.0
32,26,2634714.0
112,31,2625083.0
78,15,2607888.0
71,22,2605782.0
78,21,2591057.0
124,6,2586991.0
11,45,2586531.0
4,12,2585703.0
111,34,2578806.0
81,17,2573754.0
19,50,2573181.0
77,24,2565123.0
4,36,2563597.0
74,29,2561645.0
116,27,2556802.0
-35,-9,2556679.0
75,18,2556199.0
30,-4,2553680.0
106,38,2553019.0
113,40,2552908.0
7,47,2548624.0
73,25,2543639.0
-99,29,2540834.0
7,10,2536941.0
-92,15,2536898.0
110,20,2534266.0
5,6,2531493.0
8,45,2528301.0
6,50,2523537.0
-76,4,2522273.0
-7,34,2521027.0
-82,41,2520517.0
-83,27,2519929.0
126,35,2519502.0
10,11,2516452.0
70,34,2508678.0
43,14,2508108.0
-123,45,2504059.0
-6,35,2503724.0
111,21,2502937.0
76,25,2498647.0
113,26,2493138.0
36,36,2492006.0
78,22,2481549.0
126,44,2475953.0
-88,14,2475568.0
-74,41,2469166.0
-3,51,2459773.0
49,40,2451438.0
2,13,2450810.0
85,21,2449555.0
-102,21,2440770.0
14,50,2439674.0
145,-38,2430521.0
76,43,2429978.0
34,-15,2428407.0
-3,52,2425575.0
-91,38,2424041.0
111,23,2416464.0
28,40,2416274.0
75,13,2414439.0
79,24,2413645.0
18,50,2406179.0
83,23,2405229.0
-64,-18,2403227.0
-107,31,2394735.0
6,12,2388593.0
114,29,2388426.0
124,40,2385879.0
38,11,2382263.0
27,53,2382119.0
81,22,2376167.0
140,38,2370598.0
113,32,2361196.0
108,23,2353864.0
72,25,2353121.0
7,36,2352305.0
116,24,2350748.0
113,24,2349271.0
23,38,2346599.0
137,35,2345167.0
100,25,2342166.0
103,35,2340481.0
-112,33,2338859.0
123,42,2338026.0
108,15,2337899.0
-2,54,2336524.0
79,22,2328308.0
106,-8,2327426.0
79,19,2324351.0
110,27,2320772.0
77,21,2312895.0
52,29,2309543.0
47,30,2309378.0
10,53,2306538.0
32,2,2304660.0
-81,35,2303463.0
107,10,2302873.0
125,6,2298481.0
13,10,2294236.0
72,18,2293715.0
78,16,2293282.0
70,31,2293201.0
37,12,2292957.0
77,22,2291314.0
95,21,2288546.0
8,7,2286470.0
101,0,2282555.0
132,34,2276520.0
10,12,2271581.0
5,43,2269753.0
93,24,2265318.0
92,22,2263705.0
126,43,2263090.0
5,50,2257620.0
34,-2,2253585.0
44,35,2247100.0
13,11,2243706.0
122,11,2239622.0
106,28,2237895.0
-43,-23,2236161.0
140,36,2235861.0
110,32,2232166.0
105,25,2227689.0
96,17,2222624.0
11,10,2219904.0
31,0,2218186.0
70,33,2216421.0
79,20,2215145.0
126,46,2214949.0
47,-20,2214010.0
101,2,2212536.0
-100,18,2210970.0
-94,44,2210334.0
-17,13,2210064.0
-87,12,2208036.0
114,-4,2203987.0
111,-9,2202129.0
138,35,2201941.0
104,-4,2199726.0
-69,-17,2196510.0
114,-9,2195998.0
115,25,2194634.0
121,39,2193675.0
30,1,2190440.0
115,22,2189794.0
-41,-21,2187254.0
109,28,2186919.0
-6,34,2182272.0
12,55,2180921.0
-97,19,2179750.0
-102,20,2179559.0
103,24,2177269.0
-116,36,2177114.0
67,25,2177042.0
104,-3,2171913.0
39,13,2170383.0
31,-1,2168264.0
33,-3,2167848.0
110,26,2167797.0
-11,6,2164422.0
47,29,2163013.0
111,37,2159760.0
-98,30,2156224.0
111,25,2154869.0
-48,-16,2154651.0
141,43,2150550.0
7,7,2149843.0
8,48,2147783.0
-67,18,2141263.0
68,33,2141184.0
69,40,2135239.0
0,35,2132015.0
-36,-9,2129230.0
10,45,2129057.0
95,22,2122010.0
111,24,2115138.0
118,30,2107445.0
107,27,2099627.0
-35,-8,2098058.0
113,25,2092158.0
123,9,2091705.0
7,8,2090010.0
-1,52,2088808.0
79,15,2087399.0
37,37,2084790.0
125,44,2080611.0
34,32,2080154.0
99,2,2079873.0
-73,41,2075085.0
-79,35,2072702.0
10,35,2072324.0
6,49,2070178.0
-85,9,2066813.0
127,39,2065598.0
36,8,2061888.0
43,13,2059219.0
15,12,2057883.0
115,26,2054053.0
120,40,2049200.0
119,39,2042841.0
82,20,2038447.0
78,19,2032459.0
69,28,2031886.0
6,46,2031434.0
136,34,2028835.0
46,38,2025872.0
-36,-8,2025451.0
-2,5,2024199.0
14,10,2023906.0
-105,39,2023386.0
107,35,2022409.0
37,9,2019559.0
115,31,2012303.0
-7,53,2011528.0
37,-4,2010338.0
7,45,2006551.0
7,48,2006294.0
29,-5,2005818.0
9,7,2000680.0
-71,18,1996541.0
62,34,1996074.0
109,19,1995310.0
60,41,1994190.0
18,49,1993273.0
-98,18,1992374.0
-65,-32,1990913.0
-52,-31,1989068.0
-1,6,1988422.0
109,40,1984547.0
-78,39,1984020.0
9,53,1983605.0
30,3,1982162.0
104,-5,1979825.0
45,35,1977904.0
102,17,1976551.0
1,41,1975930.0
101,13,1974143.0
6,52,1974140.0
125,42,1971662.0
107,26,1965871.0
